        table_name         |       column_name        | ordinal_position |        data_type         | is_nullable |                           d                           
 sys_operation_log         | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_operation_log         | created_by               |                3 | bigint                   | YES         | -
 sys_operation_log         | operation                |                4 | character varying        | NO          | -
 sys_operation_log         | entity_table             |                5 | character varying        | NO          | -
 sys_operation_log         | entity_id                |                6 | bigint                   | YES         | -
 sys_operation_log         | payload_before           |                7 | jsonb                    | YES         | -
 sys_operation_log         | payload_after            |                8 | jsonb                    | YES         | -
 sys_operation_log         | operator_real_ip         |                9 | inet                     | YES         | -
 sys_operation_log         | operator_peer_ip         |               10 | inet                     | YES         | -
 sys_operation_log         | operator_x_forwarded_for |               11 | text                     | YES         | -
 sys_operation_log         | operator_ip_confidence   |               12 | text                     | YES         | -
 sys_operation_log         | trace_id                 |               13 | character varying        | YES         | -
 sys_role                  | id                       |                1 | bigint                   | NO          | nextval('sys_role_id_seq'::regclass)
 sys_role                  | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_role                  | created_by               |                3 | bigint                   | YES         | -
 sys_role                  | updated_at               |                4 | timestamp with time zone | YES         | -
 sys_role                  | updated_by               |                5 | bigint                   | YES         | -
 sys_role                  | deleted_at               |                6 | timestamp with time zone | YES         | -
 sys_role                  | deleted_by               |                7 | bigint                   | YES         | -
 sys_role                  | status                   |                8 | smallint                 | YES         | -
 sys_role                  | role_code                |                9 | character varying        | NO          | -
 sys_role                  | role_name                |               10 | character varying        | NO          | -
 sys_role                  | role_memo                |               11 | text                     | YES         | -
 sys_role                  | role_home                |               12 | character varying        | YES         | -
 sys_role                  | role_desc                |               13 | character varying        | YES         | -
 sys_token                 | id                       |                1 | bigint                   | NO          | nextval('sys_token_id_seq'::regclass)
 sys_token                 | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_token                 | created_by               |                3 | bigint                   | NO          | -
 sys_token                 | status                   |                4 | character varying        | NO          | -
 sys_token                 | token_hash               |                5 | character varying        | NO          | -
 sys_token                 | rotation_chain           |                6 | character varying        | NO          | -
 sys_token                 | issued_at                |                7 | timestamp with time zone | NO          | -
 sys_token                 | expires_at               |                8 | timestamp with time zone | NO          | -
 sys_token                 | used_at                  |                9 | timestamp with time zone | YES         | -
 sys_user                  | id                       |                1 | bigint                   | NO          | nextval('sys_user_id_seq'::regclass)
 sys_user                  | created_at               |                2 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
