        table_name         |       column_name        | ordinal_position |        data_type         | is_nullable |                           d                           
 sys_operation_log         | entity_id                |                4 | bigint                   | YES         | -
 sys_operation_log         | payload_before           |                5 | jsonb                    | YES         | -
 sys_operation_log         | payload_after            |                6 | jsonb                    | YES         | -
 sys_operation_log         | operator_id              |                7 | bigint                   | YES         | -
 sys_operation_log         | operator_real_ip         |                8 | inet                     | YES         | -
 sys_operation_log         | trace_id                 |                9 | character varying        | YES         | -
 sys_operation_log         | created_at               |               10 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_operation_log         | operator_peer_ip         |               11 | inet                     | YES         | -
 sys_operation_log         | operator_x_forwarded_for |               12 | text                     | YES         | -
 sys_operation_log         | operator_ip_confidence   |               13 | text                     | YES         | -
 sys_role                  | id                       |                1 | bigint                   | NO          | nextval('sys_role_id_seq'::regclass)
 sys_role                  | code                     |                2 | character varying        | NO          | -
 sys_role                  | name                     |                3 | character varying        | NO          | -
 sys_role                  | deleted_at               |                4 | timestamp with time zone | YES         | -
 sys_role                  | role_desc                |                5 | character varying        | YES         | -
 sys_role                  | status                   |                6 | smallint                 | YES         | -
 sys_role                  | created_at               |                7 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_role                  | created_by               |                8 | bigint                   | YES         | -
 sys_role                  | updated_by               |                9 | bigint                   | YES         | -
 sys_role                  | deleted_by               |               10 | bigint                   | YES         | -
 sys_role                  | updated_at               |               11 | timestamp with time zone | YES         | -
 sys_role                  | home                     |               12 | character varying        | YES         | -
 sys_token                 | id                       |                1 | bigint                   | NO          | nextval('sys_token_id_seq'::regclass)
 sys_token                 | user_id                  |                2 | bigint                   | NO          | -
 sys_token                 | token_hash               |                3 | character varying        | NO          | -
 sys_token                 | rotation_chain           |                4 | character varying        | NO          | -
 sys_token                 | status                   |                5 | character varying        | NO          | -
 sys_token                 | issued_at                |                6 | timestamp with time zone | NO          | -
 sys_token                 | expires_at               |                7 | timestamp with time zone | NO          | -
 sys_token                 | used_at                  |                8 | timestamp with time zone | YES         | -
 sys_token                 | created_at               |                9 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_user                  | id                       |                1 | bigint                   | NO          | nextval('sys_user_id_seq'::regclass)
 sys_user                  | user_name                |                2 | character varying        | NO          | -
 sys_user                  | password                 |                3 | character varying        | NO          | -
 sys_user                  | deleted_at               |                4 | timestamp with time zone | YES         | -
 sys_user                  | nick_name                |                5 | character varying        | YES         | -
 sys_user                  | user_gender              |                6 | smallint                 | YES         | -
 sys_user                  | user_phone               |                7 | character varying        | YES         | -
 sys_user                  | user_email               |                8 | character varying        | YES         | -
 sys_user                  | status                   |                9 | smallint                 | YES         | -
 sys_user                  | created_at               |               10 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 sys_user                  | created_by               |               11 | bigint                   | YES         | -
 sys_user                  | updated_by               |               12 | bigint                   | YES         | -
 sys_user                  | deleted_by               |               13 | bigint                   | YES         | -
 sys_user                  | updated_at               |               14 | timestamp with time zone | YES         | -
 sys_user                  | current_session_id       |               15 | character varying        | YES         | -
 sys_user                  | session_policy           |               16 | character varying        | NO          | 'inherit'::character varying
 sys_user_role             | user_id                  |                1 | bigint                   | NO          | -
 sys_user_role             | role_id                  |                2 | bigint                   | NO          | -
 system_settings           | setting_key              |                1 | character varying        | NO          | -
 system_settings           | setting_value            |                2 | character varying        | NO          | -
 system_settings           | value_type               |                3 | character varying        | NO          | -
 system_settings           | description              |                4 | character varying        | YES         | -
 system_settings           | created_at               |                5 | timestamp with time zone | NO          | CURRENT_TIMESTAMP
 system_settings           | created_by               |                6 | bigint                   | YES         | -
 system_settings           | updated_at               |                7 | timestamp with time zone | YES         | -
 system_settings           | updated_by               |                8 | bigint                   | YES         | -
 system_settings           | deleted_at               |                9 | timestamp with time zone | YES         | -
 system_settings           | deleted_by               |               10 | bigint                   | YES         | -
(150 rows)

